model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,best_epoch,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,1,hateval-immigrant,founta_hateful_57k,ZERO_SHOT,8,8,1e-05,32,44048,48341,8.0,0.4607525721274912,0.6150749125470265,0.531860460866546,0.5997331554369579,0.18699186991869918,0.6330275229357798,0.10969793322734499,0.7345132743362832,0.5971223021582733,0.9540229885057471
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,1,hateval-women,founta_hateful_57k,ZERO_SHOT,8,8,1e-05,32,44048,48341,8.0,0.3751702076492972,0.6910298307357131,0.5344811287758047,0.4639945652173913,0.6107548100641342,0.4408831908831909,0.9935794542536116,0.1395856052344602,0.9411764705882353,0.07538280329799764
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,1,waseem-racism,founta_hateful_57k,ZERO_SHOT,8,8,1e-05,32,44048,48341,8.0,0.6118492625656237,0.6392921960072595,0.5983191824894039,0.8327683615819209,0.31901840490797545,0.39846743295019155,0.2659846547314578,0.9046801202232718,0.8801169590643275,0.9306537102473498
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,1,evalita,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,48341,8.0,0.6112473749178409,0.622168071654373,0.6194847020933978,0.612,0.6283524904214559,0.5616438356164384,0.7130434782608696,0.5941422594142259,0.6826923076923077,0.5259259259259259
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,1,waseem-sexism,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,48341,8.0,0.5139695589399313,0.5544502836169503,0.5242132588517825,0.7488820089439284,0.17607223476297967,0.32098765432098764,0.12130637636080871,0.8518668831168831,0.7879129129129129,0.9271201413427562
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,davidson,ibereval,TRAINING_PASSED,8,8,1e-05,32,3817,52158,8.0,0.9100869341048079,0.9334400870143211,0.8918815559440559,0.9347048300536672,0.8630393996247655,0.9311740890688259,0.8041958041958042,0.9571344685848503,0.9357060849598163,0.9795673076923077
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,founta_hateful_57k,ibereval,TRAINING_PASSED,8,8,1e-05,32,3817,52158,8.0,0.7110184559218196,0.8111916180823971,0.6646358060659778,0.9407200767151949,0.4533762057877814,0.6714285714285714,0.3422330097087379,0.9686607060558576,0.9509546647362229,0.9870386024232178
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,ibereval,ibereval,IN_TRAINING,8,8,1e-05,32,3817,52158,8.0,0.747008264662575,0.7499918529622629,0.7447574759310516,0.7617079889807162,0.6860254083484574,0.7052238805970149,0.6678445229681979,0.8079911209766926,0.7947598253275109,0.8216704288939052
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,hateval-immigrant,ibereval,ZERO_SHOT,8,8,1e-05,32,3817,52158,8.0,0.40255541842281084,0.5926662097326936,0.509882499131992,0.5857238158772515,0.07174887892376682,0.6,0.03815580286168521,0.7333619579218549,0.5853324194653873,0.9816091954022989
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,hateval-women,ibereval,ZERO_SHOT,8,8,1e-05,32,3817,52158,8.0,0.403892422401677,0.6929505813953488,0.5481881242591132,0.48029891304347827,0.6173086543271635,0.4484011627906977,0.9903691813804173,0.19047619047619047,0.9375,0.10600706713780919
